제목,개봉일,국가,장르,별점,네티즌수
우묵배미의 사랑,2018-10-31,한국,로맨스/멜로,8.6,102
삼국여한,1982-08-12,한국,드라마,5.8,12
홍두깨,1990-10-20,한국,드라마/시대극,5.3,3
생사결,1982-10-01,한국,액션/드라마,8.3,18
소림관 지배인,1982-12-03,한국,액션/무협,7.5,2
소림사 물장수,1983-01-28,한국,액션/무협/시대극,7.5,2
소림신방,1982-09-12,한국,액션,10.0,1
애견부인,1990-09-08,한국,성인,9.2,4
오세암,1990-03-24,한국,드라마,7.9,12
소문십이방,1983-04-14,한국,액션,9.0,1
숲속의 바보,1982-08-28,한국,로맨스/멜로,7.5,2
신서유기,1983-01-01,한국,액션,8.5,4
아벤고 공수군단,1982-05-01,한국,드라마/전쟁,6.2,11
안개는 여자처럼 속삭인다,1983-04-23,한국,스릴러/로맨스/멜로,5.0,1
여자의 함정,1982-05-22,한국,로맨스/멜로,7.5,2
열애,1982-07-17,한국,로맨스/멜로,8.3,3
꽃지,1990-03-31,한국,드라마/가족,7.0,1
홀로서는 그날에,1990-04-21,한국,드라마,9.0,1
슈퍼맨 일지매,1990-00-00,한국,액션,5.0,1
어둠의 딸,1990-06-02,한국,로맨스/멜로,4.0,1
동경 아리랑,1990-09-08,한국,드라마,5.8,6
남자시장,1990-06-02,한국,로맨스/멜로,0.0,1
남부군,1990-06-02,한국,전쟁,8.0,32
욕망의 늪,1982-08-07,한국,로맨스/멜로,6.5,2
원한의 도전장,1983-03-20,한국,액션,5.0,1
인자문살수,1982-08-14,한국,액션/무협,4.7,3
정리의 용형마교,1982-11-20,한국,액션,5.8,4
장군의 아들,1990-06-09,한국,액션/드라마,7.3,71
진아의 벌레먹은 장미,1982-10-09,한국,로맨스/멜로,10.0,2
꼴찌부터 일등까지 우리반을 찾습니다,1990-09-29,한국,드라마,4.0,2
별난 두 영웅,1990-08-04,한국,코미디/드라마,8.0,1
춘희,1982-08-26,한국,로맨스/멜로,7.0,1
마유미,1990-06-09,한국,스릴러/드라마,3.9,9
타인의 둥지,1982-11-20,한국,로맨스/멜로,1.0,1
심형래의 쫄병군단,1990-07-14,한국,코미디,5.0,4
탄야,1982-11-06,한국,로맨스/멜로,8.0,2
'82 바보들의 청춘,1983-04-09,한국,드라마,0.0,1
미친 사랑의 노래,1990-06-23,한국,로맨스/멜로,10.0,1
평양박치기,1983-04-09,한국,액션/전쟁/드라마,4.0,1
있잖아요 비밀이에요,1990-07-14,한국,드라마,7.3,33
그래 가끔 하늘을 보자,1990-09-14,한국,드라마,7.8,20
화녀 '82,1982-06-26,한국,드라마/범죄/스릴러,6.6,5
화순이,1982-07-04,한국,드라마,3.9,11
로보트 태권브이 90,1990-07-28,한국,SF/애니메이션,1.0,1
가슴깊게 화끈하게,1981-10-30,한국,코미디/드라마,3.5,2
그대 앞에 다시 서리라,1981-10-23,한국,로맨스/멜로,3.0,2
